sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
1,1687583995,0.289593,-0.036921,-0.013753,0.249196,-0.012481,0.659386,0.223510,0.350064,0.881210,-0.225761,
2,1687600662,1.227470,-1.650102,-1.733890,-11.955786,-74.133812,46.343670,0.216331,0.354405,0.880561,-0.228495,
3,1687617329,1.299539,-1.596511,-1.243570,-1.068377,-61.107792,41.156971,0.201201,0.356716,0.881741,-0.234105,
4,1687633996,0.734708,-1.388668,-1.219070,13.680176,-39.680515,35.387718,0.186063,0.356004,0.883599,-0.240615,
5,1687650663,1.722728,0.108953,-0.626285,26.070099,-10.960980,34.366318,0.171989,0.357258,0.884208,-0.246906,
6,1687667330,2.685337,2.019544,0.319200,27.636379,22.431143,41.958023,0.157252,0.362075,0.884658,-0.248102,
7,1687683997,2.369303,2.826333,0.366281,20.941526,63.998634,54.157398,0.140644,0.371127,0.885346,-0.242170,
8,1687700664,0.177110,2.822275,-0.578751,20.568867,119.107338,63.093552,0.119684,0.383982,0.885995,-0.230751,
9,1687717331,-1.307865,2.290575,-2.065566,39.992149,186.795517,61.961102,0.091978,0.399453,0.885859,-0.217328,
10,1687733998,-1.210594,1.918526,-5.262131,70.236725,257.455658,50.455746,0.053312,0.424074,0.880672,-0.204295,
11,1687750665,-12.181240,-1.699787,-37.686649,114.309654,288.279572,28.502546,0.010320,0.437031,0.878314,-0.193552,
12,1687767332,-7.088888,1.849254,-4.145905,253.404861,32.203453,-6.616413,-0.009958,0.437327,0.871318,-0.222379,
13,1687783999,-1.981796,7.361585,-17.017754,12.120144,76.666473,-6.668114,-0.020614,0.438928,0.871185,-0.218984,
14,1687800666,-1.245610,3.142320,-15.688901,-125.789696,85.180748,2.444130,-0.023099,0.442287,0.874630,-0.197156,
15,1687817333,1.140640,-2.601075,-15.725323,-79.762405,60.792824,10.680194,-0.025044,0.445723,0.876057,-0.182284,
